Order	code	text			gsed	gsed2	p1	p2	p3
1	Ma_LF_A01	Moves body in reaction to caregiver			mdtsed003	gtogmd003	lf1	a_d	001
2	Ma_LF_A02	Moves body, kicking legs and moving arms equally on his/her own			mdtsed004	gtogmd002	lf1	a_d	002
3	Ma_LF_A03	Pulls to sit - no head lag			mdtgmd004	gtogmd006	lf1	a_d	003
4	Ma_LF_A04	Lifts head in prone 45 degrees (2X)			ddigmd057	gtogmd001	lf1	a_d	004
5	Ma_LF_A05	Lifts head, shoulders, chest when prone (2X)			mdtgmd005	gtogmd007	lf1	a_d	005
6	Ma_LF_A06	Puts hands together in front of face			mdtfmd003	gtogmd004	lf1	a_d	006
7	Ma_LF_A07	Carries object to mouth to explore (2X)			sgrehd012	gtogmd011	lf1	a_d	007
8	Ma_LF_A08	Reaches for an object (2X)			by1mdd051	gtogmd008	lf1	a_d	008
9	Ma_LF_A09	Grasps hold of large object (2X)			mdtfmd006	gtogmd010	lf1	a_d	009
10	Ma_LF_A10	Balances head while supported			ddigmd061	gtogmd005	lf1	a_d	010
11	Ma_LF_A11	Sits supported (with help) (2X)			dmcgmd003	gtogmd012	lf1	a_d	011
12	Ma_LF_A12	Resists object being taken away (2X)			sgrred010	gtogmd009	lf1	a_d	012
13	Ma_LF_A13	Sees a small object (2X)			mdtfmd008	gtogmd016	lf1	a_d	013
14	Ma_LF_A14	Sits momentarily (on his/her own) (2X)			by1pdd023	gtogmd013	lf1	a_d	014
15	Ma_LF_A15	Sits without help (short time) (2X)			mdtgmd009	gtogmd018	lf1	a_d	015
16	Ma_LF_A16	Picks object from ground (2X)			mdtfmd007	gtogmd020	lf1	a_d	016
17	Ma_LF_A17	Rolls from back to stomach (2X)			by1pdd028	gtogmd015	lf1	a_d	017
18	Ma_LF_A18	Sits by self well (2X)			mdtgmd010	gtogmd022	lf1	a_d	018
19	Ma_LF_A19	Rakes (grasps with 3 or 4 fingers) a small object (2X)			denfmd009	gtogmd017	lf1	a_d	019
20	Ma_LF_A20	Turns on floor (2X)			sgrgmd022	gtogmd019	lf1	a_d	020
21	Ma_LF_A21	Moves from lying to sitting			kdigmd031	gtogmd026	lf1	a_d	021
22	Ma_LF_A22	Stands with support (2X)			kdigmd001	gtogmd027	lf1	a_d	022
23	Ma_LF_A23	Reaches for a second object (2X)			by1mdd064	gtogmd014	lf1	a_d	023
24	Ma_LF_A24	Crawls (2X)			dmcgmd005	gtogmd023	lf1	a_d	024
25	Ma_LF_A25	Pulls up to standing position (2X)			mdtgmd012	gtogmd025	lf1	a_d	025
26	Ma_LF_A26	Shifts object from 1 hand to the other (2X)			mdtfmd009	gtogmd021	lf1	a_d	026
27	Ma_LF_A27	Picks up small object between thumb and finger (2X)			ddifmd010	gtogmd024	lf1	a_d	027
28	Ma_LF_A28	Walks when 1 hand held (2X)			kdigmd005	gtogmd029	lf1	a_d	028
29	Ma_LF_A29	Stands alone for 5 seconds or more if put in standing position (2X)			dmcgmd009	gtogmd028	lf1	a_d	029
30	Ma_LF_A30	Plays "give-and-take" (3X)			ddifmm012	gtogmd030	lf1	a_d	030
31	Ma_LF_A31	Takes few steps alone (2X)			grigmd203	gtogmd032	lf1	a_d	031
32	Ma_LF_A32	Walks			mdtgmd018	gtogmd036	lf1	a_d	032
33	Ma_LF_A33	Runs (basic), may fall over (2X)			mdtgmd019	gtogmd037	lf1	a_d	033
34	Ma_LF_A34	Stoops and recovers (2X)			mdtgmd017	gtogmd034	lf1	a_d	034
35	Ma_LF_A35	Releases ball purposefully (2X)			kdifmd002	gtogmd031	lf1	a_d	035
36	Ma_LF_A36	Runs well (2X)			mdtgmd021	gtogmd038	lf1	a_d	036
37	Ma_LF_A37	Kicks a ball from stationary position (2X)			kdigmd003	gtogmd033	lf1	a_d	037
38	Ma_LF_A38	Runs and kicks a ball well (2X)			mdtgmd024	gtogmd039	lf1	a_d	038
39	Ma_LF_A39	Kneels and then stands, without using hands (2X)			mdtgmd022	gtogmd040	lf1	a_d	039
40	Ma_LF_A40	Hops forward on 1 foot 3 steps (2X)			mdtgmd031	gtogmd045	lf1	a_d	040
41	Ma_LF_A41	Jumps with both feet together (2X)			kdigmd008	gtogmd042	lf1	a_d	041
42	Ma_LF_A42	Jumps over a piece of paper (widthways) (2X)			mdtgmd029	gtogmd043	lf1	a_d	042
43	Ma_LF_A43	Walks along line heel-to-toe (2X)			kdigmd015	gtogmd048	lf1	a_d	043
44	Ma_LF_A44	Throws beanbag onto a cloth (3X)			mdtgmd023	gtogmd041	lf1	a_d	044
45	Ma_LF_A45	Stands on 1 foot > 5 seconds (2X)			mdtgmd027	gtogmd044	lf1	a_d	045
46	Ma_LF_A46	Walks on tiptoes 6 or more steps			mdtgmd030	gtogmd047	lf1	a_d	046
47	Ma_LF_A47	Moves from sitting to standing without using hands			kdigmd034	gtogmd035	lf1	a_d	047
48	Ma_LF_A48	Stands on 1 foot > 5 seconds (2X)			mdtgmd032	gtogmd046	lf1	a_d	048
49	Ma_LF_A49	Throws ball up into the air and catches it (3X)			mdtgmd033	gtogmd049	lf1	a_d	049
50	Ma_LF_B01	Makes sounds or vocalizes (2X)			mdtlgd002	gtolgd004	lf1	a_d	001
51	Ma_LF_B02	Reacts when spoken to (2X)			ddicmm029	gtolgd001	lf1	a_d	002
52	Ma_LF_B03	Smiles in response (2X)			ddicmm030	gtolgd002	lf1	a_d	003
53	Ma_LF_B04	Laughs (2X)			mdtlgd003	gtolgd006	lf1	a_d	004
54	Ma_LF_B05	Calms and quiets with caregiver			mdtsed005	gtolgd003	lf1	a_d	005
55	Ma_LF_B06	Vocalizes when spoken to			sgrred006	gtolgd007	lf1	a_d	006
56	Ma_LF_B07	Turns to voice (2X)			denlgd007	gtolgd005	lf1	a_d	007
57	Ma_LF_B08	Babbles while playing			ddicmm034	gtolgd009	lf1	a_d	008
58	Ma_LF_B09	Repeats syllables			dmclgd002	gtolgd008	lf1	a_d	009
59	Ma_LF_B10	Uses gestures to communicate			dmclgd005	gtolgd012	lf1	a_d	010
60	Ma_LF_B11	Uses 2 - 4 syllable babble			mdtlgd007	gtolgd010	lf1	a_d	011
61	Ma_LF_B12	Responds to verbal request (2X)			by1mdd089	gtolgd013	lf1	a_d	012
62	Ma_LF_B13	Uses 1 definite word			dmclgd006	gtolgd014	lf1	a_d	013
63	Ma_LF_B14	Understands when being cautioned (2X)			mdtlgd008	gtolgd011	lf1	a_d	014
64	Ma_LF_B15	Imitates simple words (2X)			by1mdd106	gtolgd015	lf1	a_d	015
65	Ma_LF_B16	Follows simple commands (1 step) (2X)			mdtlgd010	gtolgd020	lf1	a_d	016
66	Ma_LF_B17	Points to 2 pictures			by2mdd099	gtolgd021	lf1	a_d	017
67	Ma_LF_B18	Identifies 2 objects you name (2X)			ddicmd141	gtolgd018	lf1	a_d	018
68	Ma_LF_B19	Identifies 5 objects you name (2X)			mdtlgd016	gtolgd026	lf1	a_d	019
69	Ma_LF_B20	Identifies 1 item of clothing			by1mdd117	gtolgd017	lf1	a_d	020
70	Ma_LF_B21	Identifies 3 items of clothing			by3red022	gtolgd022	lf1	a_d	021
71	Ma_LF_B22	Points to 1 or more body parts (2X)			mdtlgd018	gtolgd029	lf1	a_d	022
72	Ma_LF_B23	Points at 5 pictures in book			ddicmd044	gtolgd025	lf1	a_d	023
73	Ma_LF_B24	Shows interest in story			by3cgd059	gtolgd019	lf1	a_d	024
74	Ma_LF_B25	Follows 2-step commands (2X)			mdtlgd015	gtolgd023	lf1	a_d	025
75	Ma_LF_B26	Says sentences with 2 words together			ddicmm041	gtolgd024	lf1	a_d	026
76	Ma_LF_B27	Names 4 pictures			grihsd223	gtolgd033	lf1	a_d	027
77	Ma_LF_B28	Uses 5 clear words			grihsd208	gtolgd016	lf1	a_d	028
78	Ma_LF_B29	Matches pictures			by3cgd064	gtolgd032	lf1	a_d	029
79	Ma_LF_B30	Names 5 objects (2X)			mdtlgd019	gtolgd027	lf1	a_d	030
80	Ma_LF_B31	Uses multiple-word utterances			by3exd029	gtolgd036	lf1	a_d	031
81	Ma_LF_B32	Speaks clearly in sentences			mdtlgd017	gtolgd028	lf1	a_d	032
82	Ma_LF_B33	Knows actions or functions of 3 or more objects			mdtlgd021	gtolgd031	lf1	a_d	033
83	Ma_LF_B34	Points to parts of whole objects			by3red028	gtolgd038	lf1	a_d	034
84	Ma_LF_B35	Says first name (2X)			mdtlgd020	gtolgd030	lf1	a_d	035
85	Ma_LF_B36	Names 10 objects (2X)			mdtlgd023	gtolgd035	lf1	a_d	036
86	Ma_LF_B37	Understands "more" (2X)			teplgd018	gtolgd047	lf1	a_d	037
87	Ma_LF_B38	Identifies 2 or more colours (2X)			teplgd032	gtolgd043	lf1	a_d	038
88	Ma_LF_B39	Knows use of objects (2X)			grihsd303	gtolgd045	lf1	a_d	039
89	Ma_LF_B40	Names at least 2 colours (2X)			teplgd031	gtolgd049	lf1	a_d	040
90	Ma_LF_B41	Identifies 5 action pictures			by3red029	gtolgd034	lf1	a_d	041
91	Ma_LF_B42	Identifies at least 2 shapes (2X)			teplgd034	gtolgd048	lf1	a_d	042
92	Ma_LF_B43	Talks easily about daily events			ddicmm047	gtolgd037	lf1	a_d	043
93	Ma_LF_B44	Describes picture (2X)			teplgd035	gtolgd042	lf1	a_d	044
94	Ma_LF_B45	Gives logical response to a question (2X)			teplgd281	gtolgd039	lf1	a_d	045
95	Ma_LF_B46	Categorizes things			mdtlgd024	gtolgd040	lf1	a_d	046
96	Ma_LF_B47	Matches 3 colours (2X)			by3cgd068	gtolgd041	lf1	a_d	047
97	Ma_LF_B48	Understands adjective "faster" (2X)			mdtlgd029	gtolgd044	lf1	a_d	048
98	Ma_LF_B49	Names actions (5)			by3exd037	gtolgd046	lf1	a_d	049
99	Ma_LF_B50	Taps with 2 blocks			sbiwmd007	gtolgd050	lf1	a_d	050
100	Ma_LF_B51	Taps with 4 blocks			sbiwmd008	gtolgd051	lf1	a_d	051
101	Ma_LF_B52	Taps with 8 blocks			sbiwmd009	gtolgd052	lf1	a_d	052
102	Ma_LF_C01	Fixates eyes (2X)			ddifmd001	gtofmd001	lf1	a_d	001
103	Ma_LF_C02	Responds to sound (2X)			mdtlgd001	gtofmd002	lf1	a_d	002
104	Ma_LF_C03	Fixes and follows - 180 degrees			mdtfmd002	gtofmd003	lf1	a_d	003
105	Ma_LF_C04	Manipulates cup OR spoon in play			sgrred018	gtofmd007	lf1	a_d	004
106	Ma_LF_C05	Shows interest in making a sound (2X)			by1mdd072	gtofmd004	lf1	a_d	005
